datetime,price
2016-12-09,770.028125
2016-12-10,773.40125
2016-12-11,768.303125
2016-12-12,777.006875
2016-12-13,778.4935
2016-12-14,774.897
2016-12-15,776.75215
2016-12-16,781.5683750000001
2016-12-17,788.7055
2016-12-18,788.40575
2016-12-19,789.524125
2016-12-20,793.0901375
2016-12-21,824.2189375
2016-12-22,860.599875
2016-12-23,901.3182375
2016-12-24,891.6126125
2016-12-25,886.9003749999999
2016-12-26,897.335375
2016-12-27,930.376
2016-12-28,967.480375
2016-12-29,963.381625
2016-12-30,952.156375
2016-12-31,959.879875
2017-01-01,997.729875
2017-01-02,1015.9771125
2017-01-03,1023.141875
2017-01-04,1126.7633375
2017-01-05,994.674875
2017-01-06,883.099175
2017-01-07,896.830375
2017-01-08,908.1490375
2017-01-09,894.18025
2017-01-10,906.0569142857142
2017-01-11,785.2237375
2017-01-12,803.372375
2017-01-13,826.2956625
2017-01-14,817.912875
2017-01-15,822.2076
2017-01-16,830.505125
2017-01-17,903.84575
2017-01-18,874.9949625
2017-01-19,895.798875
2017-01-20,893.6210875
2017-01-21,920.4479
2017-01-22,918.603625
2017-01-23,922.0736125
2017-01-24,890.320225
2017-01-25,893.045625
2017-01-26,915.95625
2017-01-27,919.27975
2017-01-28,920.31225
2017-01-29,915.933
2017-01-30,921.1793250000001
2017-01-31,964.706075
2017-02-01,979.7038749999999
2017-02-02,1007.6137125
2017-02-03,1013.027
2017-02-04,1030.9994125
2017-02-05,1014.837725
2017-02-06,1024.01375
2017-02-07,1050.1100000000001
2017-02-08,1052.3766125
2017-02-09,976.1030000000001
2017-02-10,999.1034999999999
2017-02-11,1008.8466625
2017-02-12,1000.604625
2017-02-13,999.877375
2017-02-14,1011.78025
2017-02-15,1012.3259875
2017-02-16,1035.2081249999999
2017-02-17,1055.53685
2017-02-18,1056.6371374999999
2017-02-19,1052.7792857142856
2017-02-20,1084.7550125
2017-02-21,1123.7884285714285
2017-02-22,1123.2231875
2017-02-23,1172.01715
2017-02-24,1174.86625
2017-02-25,1150.6057142857142
2017-02-26,1175.0497500000001
2017-02-27,1190.75195
2017-02-28,1187.5652857142857
2017-03-01,1222.4994000000002
2017-03-02,1259.4108166666667
2017-03-03,1285.14
2017-03-04,1267.0272
2017-03-05,1270.9333
2017-03-06,1275.197375
